transaction_id,transaction_time,amount,transaction_type,merchant_category,customer_age,is_fraud
1,2024-01-11 23:15:00,371.23,POS,Travel,32,0
2,2024-01-01 14:20:00,127.6,Online,Retail,48,0
3,2024-01-27 11:58:00,57.38,Online,Travel,24,0
4,2024-01-08 20:04:00,26.35,POS,Retail,58,0
5,2024-01-05 08:25:00,78.28,Online,Healthcare,27,0
6,2024-01-12 16:50:00,25.96,Transfer,Healthcare,27,0
7,2024-01-26 19:54:00,21.83,Online,Retail,65,0
8,2024-01-16 06:02:00,115.28,Online,Travel,56,0
9,2024-01-12 03:03:00,88.85,POS,Retail,45,0
10,2024-01-29 12:50:00,133.07,Transfer,Food,47,0
11,2024-01-02 04:05:00,318.44,Online,Healthcare,54,0
12,2024-01-01 12:49:00,91.18,Online,Food,72,0
13,2024-01-02 16:33:00,104.37,Online,Healthcare,20,0
14,2024-01-04 16:31:00,11.27,Online,Healthcare,67,0
15,2024-01-27 06:19:00,151.75,Online,Electronics,60,0
16,2024-01-28 05:08:00,61.28,POS,Food,32,0
17,2024-01-13 04:48:00,451.25,Online,Food,38,0
18,2024-01-14 17:29:00,207.91,Online,Electronics,69,0
19,2024-01-20 22:13:00,88.7,POS,Travel,54,0
20,2024-01-05 10:36:00,35.53,Online,Food,73,1
21,2024-01-20 02:00:00,235.43,Online,Retail,29,0
22,2024-01-29 18:34:00,193.0,Online,Electronics,21,0
23,2024-01-18 19:38:00,24.49,Transfer,Food,64,0
24,2024-01-14 03:42:00,41.99,Online,Travel,26,0
25,2024-01-13 19:11:00,189.24,Transfer,Food,56,0
26,2024-01-02 21:47:00,24.58,POS,Healthcare,59,0
27,2024-01-01 03:09:00,299.76,Online,Retail,45,0
28,2024-01-14 06:38:00,66.31,Transfer,Electronics,40,0
29,2024-01-25 20:13:00,10.93,Online,Healthcare,62,0
30,2024-01-02 07:39:00,202.97,Online,Travel,57,0
31,2024-01-01 21:07:00,56.11,POS,Healthcare,61,0
32,2024-01-22 21:51:00,89.71,POS,Healthcare,39,0
33,2024-01-08 21:54:00,14.3,POS,Travel,41,0
34,2024-01-03 11:16:00,0.31,Online,Healthcare,68,0
35,2024-01-03 16:50:00,121.93,POS,Electronics,43,0
36,2024-01-29 21:26:00,86.88,POS,Food,47,0
37,2024-01-22 08:20:00,108.03,Online,Healthcare,50,0
38,2024-01-11 01:42:00,189.44,Online,Electronics,33,0
39,2024-01-16 02:57:00,124.82,Online,Food,39,0
40,2024-01-08 09:07:00,23.05,Online,Food,66,0
41,2024-01-07 02:32:00,53.7,Transfer,Healthcare,74,0
42,2024-01-30 21:01:00,283.6,Online,Electronics,67,0
43,2024-01-06 20:33:00,176.33,Transfer,Healthcare,60,0
44,2024-01-30 20:41:00,97.6,Online,Travel,35,0
45,2024-01-08 15:36:00,35.43,POS,Food,24,0
46,2024-01-17 14:17:00,43.15,Online,Healthcare,67,0
47,2024-01-02 19:32:00,157.99,Online,Food,43,0
48,2024-01-17 07:23:00,228.6,Online,Electronics,25,0
49,2024-01-12 21:59:00,133.56,Online,Retail,23,0
50,2024-01-29 11:14:00,198.99,POS,Healthcare,47,0
51,2024-01-11 02:21:00,174.63,Transfer,Healthcare,56,0
52,2024-01-25 22:40:00,19.46,POS,Food,40,0
53,2024-01-19 10:11:00,66.19,Online,Electronics,49,0
54,2024-01-02 02:25:00,19.92,Online,Travel,39,0
55,2024-01-03 17:43:00,32.18,Online,Electronics,59,0
